method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
rustgraph,uc-social,burst,0.01,0.1,0.07,0.59
rustgraph,uc-social,burst,0.01,0.5,0.054,0.74
rustgraph,uc-social,burst,0.01,1,0.14,0.83
rustgraph,uc-social,burst,0.05,0.1,0.16,0.83
rustgraph,uc-social,burst,0.05,0.5,0.181,0.82
rustgraph,uc-social,burst,0.05,1,0.242,0.85
rustgraph,uc-social,burst,0.1,0.1,0.32,0.76
rustgraph,uc-social,burst,0.1,0.5,0.19,0.71
rustgraph,uc-social,burst,0.1,1,0.03,0.71
rustgraph,uc-social,clique,0.01,0.1,0.031,0.7
rustgraph,uc-social,clique,0.01,0.5,0.02,0.57
rustgraph,uc-social,clique,0.01,1,0.02,0.55
rustgraph,uc-social,clique,0.05,0.1,0.06,0.56
rustgraph,uc-social,clique,0.05,0.5,0.08,0.61
rustgraph,uc-social,clique,0.05,1,0.088,0.61
rustgraph,uc-social,clique,0.1,0.1,0.105,0.54
rustgraph,uc-social,clique,0.1,0.5,0.142,0.61
rustgraph,uc-social,clique,0.1,1,0.142,0.61
