method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
slade,email-dnc,bridge,0.05,0.5,0.072,0.53
slade,email-dnc,bridge,0.05,1,0.041,0.52
slade,email-dnc,bridge,0.1,0.1,0.12,0.46
slade,email-dnc,bridge,0.1,0.5,0.181,0.47
slade,email-dnc,bridge,0.1,1,0.09,0.5
slade,email-dnc,path,0.01,0.1,0.014,0.51
slade,email-dnc,path,0.01,0.5,0.044,0.52
slade,email-dnc,path,0.01,1,0.034,0.51
slade,email-dnc,path,0.05,0.1,0.055,0.53
slade,email-dnc,path,0.05,0.5,0.066,0.52
slade,email-dnc,path,0.05,1,0.049,0.47
slade,email-dnc,path,0.1,0.1,0.092,0.46
slade,email-dnc,path,0.1,0.5,0.12,0.5
slade,email-dnc,path,0.1,1,0.119,0.53
slade,email-dnc,burst,0.01,0.1,0.015,0.6
slade,email-dnc,burst,0.01,0.5,0.013,0.55
slade,email-dnc,burst,0.01,1,0.008,0.29
slade,email-dnc,burst,0.05,0.1,0.05,0.43
slade,email-dnc,burst,0.05,0.5,0.062,0.55
slade,email-dnc,burst,0.05,1,0.087,0.55
slade,email-dnc,burst,0.1,0.1,0.082,0.42
slade,email-dnc,burst,0.1,0.5,0.2,0.37
slade,email-dnc,burst,0.1,1,0.122,0.4
slade,email-dnc,clique,0.01,0.1,0.02,0.59
slade,email-dnc,clique,0.01,0.5,0.02,0.54
slade,email-dnc,clique,0.01,1,0.02,0.49
slade,email-dnc,clique,0.05,0.1,0.05,0.42
slade,email-dnc,clique,0.05,0.5,0.121,0.55
slade,email-dnc,clique,0.05,1,0.036,0.36
slade,email-dnc,clique,0.1,0.1,0.104,0.52
slade,email-dnc,clique,0.1,0.5,0.115,0.54
slade,email-dnc,clique,0.1,1,0.138,0.62
slade,uc-social,random,0.01,0.1,0.033,0.77
slade,uc-social,random,0.01,0.5,0.03,0.75
slade,uc-social,random,0.01,1,0.034,0.79
slade,uc-social,random,0.05,0.1,0.12,0.75
slade,uc-social,random,0.05,0.5,0.1,0.72
slade,uc-social,random,0.05,1,0.089,0.7
slade,uc-social,random,0.1,0.1,0.201,0.73
slade,uc-social,random,0.1,0.5,0.169,0.72
slade,uc-social,random,0.1,1,0.196,0.74
slade,uc-social,bridge,0.01,0.1,0.031,0.73
slade,uc-social,bridge,0.01,0.5,0.029,0.75
slade,uc-social,bridge,0.01,1,0.032,0.78
slade,uc-social,bridge,0.05,0.1,0.12,0.75
slade,uc-social,bridge,0.05,0.5,0.09,0.72
slade,uc-social,bridge,0.05,1,0.082,0.68
slade,uc-social,bridge,0.1,0.1,0.153,0.68
slade,uc-social,bridge,0.1,0.5,0.164,0.7
slade,uc-social,bridge,0.1,1,0.166,0.73
slade,uc-social,path,0.01,0.1,0.03,0.75
slade,uc-social,path,0.01,0.5,0.039,0.76
slade,uc-social,path,0.01,1,0.027,0.74
slade,uc-social,path,0.05,0.1,0.103,0.75
slade,uc-social,path,0.05,0.5,0.085,0.72
slade,uc-social,path,0.05,1,0.113,0.71
slade,uc-social,path,0.1,0.1,0.181,0.72
slade,uc-social,path,0.1,0.5,0.162,0.71
slade,uc-social,path,0.1,1,0.133,0.69
slade,uc-social,burst,0.01,0.1,0.024,0.58
slade,uc-social,burst,0.01,0.5,0.024,0.63
slade,uc-social,burst,0.01,1,0.007,0.2
slade,uc-social,burst,0.05,0.1,0.067,0.6
slade,uc-social,burst,0.05,0.5,0.052,0.56
slade,uc-social,burst,0.05,1,0.037,0.39
slade,uc-social,burst,0.1,0.1,0.164,0.69
slade,uc-social,burst,0.1,0.5,0.08,0.43
slade,uc-social,burst,0.1,1,0.059,0.27
slade,uc-social,clique,0.01,0.1,0.031,0.76
slade,uc-social,clique,0.01,0.5,0.02,0.58
slade,uc-social,clique,0.01,1,0.011,0.45
slade,uc-social,clique,0.05,0.1,0.094,0.67
slade,uc-social,clique,0.05,0.5,0.06,0.56
slade,uc-social,clique,0.05,1,0.045,0.46
slade,uc-social,clique,0.1,0.1,0.158,0.67
slade,uc-social,clique,0.1,0.5,0.09,0.52
slade,uc-social,clique,0.1,1,0.08,0.46
