method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
addgraph,email-dnc,path,0.1,0.1,0.272,0.78
addgraph,email-dnc,path,0.1,0.5,0.324,0.82
addgraph,email-dnc,path,0.1,1,0.351,0.8
addgraph,email-dnc,burst,0.01,0.1,0.091,0.86
addgraph,email-dnc,burst,0.01,0.5,0.074,0.9
addgraph,email-dnc,burst,0.01,1,0.032,0.7
addgraph,email-dnc,burst,0.05,0.1,0.26,0.85
addgraph,email-dnc,burst,0.05,0.5,0.23,0.83
addgraph,email-dnc,burst,0.05,1,0.245,0.79
addgraph,email-dnc,burst,0.1,0.1,0.585,0.94
addgraph,email-dnc,burst,0.1,0.5,0.44,0.86
addgraph,email-dnc,burst,0.1,1,0.33,0.73
addgraph,email-dnc,clique,0.01,0.1,0.14,0.88
addgraph,email-dnc,clique,0.01,0.5,0.052,0.77
addgraph,email-dnc,clique,0.01,1,0.06,0.77
addgraph,email-dnc,clique,0.05,0.1,0.19,0.8
addgraph,email-dnc,clique,0.05,0.5,0.273,0.89
addgraph,email-dnc,clique,0.05,1,0.225,0.8
addgraph,email-dnc,clique,0.1,0.1,0.353,0.81
addgraph,email-dnc,clique,0.1,0.5,0.27,0.77
addgraph,email-dnc,clique,0.1,1,0.27,0.73
addgraph,uc-social,random,0.01,0.1,0.18,0.91
addgraph,uc-social,random,0.01,0.5,0.17,0.93
addgraph,uc-social,random,0.01,1,0.143,0.92
addgraph,uc-social,random,0.05,0.1,0.41,0.91
addgraph,uc-social,random,0.05,0.5,0.452,0.92
addgraph,uc-social,random,0.05,1,0.483,0.91
addgraph,uc-social,random,0.1,0.1,0.551,0.9
addgraph,uc-social,random,0.1,0.5,0.47,0.89
addgraph,uc-social,random,0.1,1,0.524,0.91
addgraph,uc-social,bridge,0.01,0.1,0.2,0.92
addgraph,uc-social,bridge,0.01,0.5,0.15,0.93
addgraph,uc-social,bridge,0.01,1,0.132,0.9
addgraph,uc-social,bridge,0.05,0.1,0.402,0.91
addgraph,uc-social,bridge,0.05,0.5,0.383,0.91
addgraph,uc-social,bridge,0.05,1,0.45,0.91
addgraph,uc-social,bridge,0.1,0.1,0.473,0.89
addgraph,uc-social,bridge,0.1,0.5,0.45,0.88
addgraph,uc-social,bridge,0.1,1,0.452,0.88
addgraph,uc-social,path,0.01,0.1,0.182,0.92
addgraph,uc-social,path,0.01,0.5,0.14,0.92
addgraph,uc-social,path,0.01,1,0.09,0.89
addgraph,uc-social,path,0.05,0.1,0.41,0.91
addgraph,uc-social,path,0.05,0.5,0.33,0.89
addgraph,uc-social,path,0.05,1,0.36,0.9
addgraph,uc-social,path,0.1,0.1,0.502,0.9
addgraph,uc-social,path,0.1,0.5,0.415,0.86
addgraph,uc-social,path,0.1,1,0.42,0.88
addgraph,uc-social,burst,0.01,0.1,0.04,0.73
addgraph,uc-social,burst,0.01,0.5,0.072,0.88
addgraph,uc-social,burst,0.01,1,0.024,0.73
addgraph,uc-social,burst,0.05,0.1,0.31,0.85
addgraph,uc-social,burst,0.05,0.5,0.193,0.85
addgraph,uc-social,burst,0.05,1,0.083,0.71
addgraph,uc-social,burst,0.1,0.1,0.465,0.9
addgraph,uc-social,burst,0.1,0.5,0.21,0.78
addgraph,uc-social,burst,0.1,1,0.15,0.7
addgraph,uc-social,clique,0.01,0.1,0.085,0.83
addgraph,uc-social,clique,0.01,0.5,0.03,0.72
addgraph,uc-social,clique,0.01,1,0.02,0.54
addgraph,uc-social,clique,0.05,0.1,0.261,0.85
addgraph,uc-social,clique,0.05,0.5,0.094,0.66
addgraph,uc-social,clique,0.05,1,0.07,0.61
addgraph,uc-social,clique,0.1,0.1,0.362,0.85
addgraph,uc-social,clique,0.1,0.5,0.132,0.65
addgraph,uc-social,clique,0.1,1,0.112,0.57
