method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
taddy,digg-homo,clique,0.1,0.1,0.08,0.31
taddy,digg-homo,clique,0.1,0.5,0.068,0.34
taddy,digg-homo,clique,0.1,1,0.081,0.46
taddy,email-dnc,random,0.01,0.1,0.03,0.72
taddy,email-dnc,random,0.01,0.5,0.035,0.74
taddy,email-dnc,random,0.01,1,0.01,0.74
taddy,email-dnc,random,0.05,0.1,0.2,0.81
taddy,email-dnc,random,0.05,0.5,0.18,0.86
taddy,email-dnc,random,0.05,1,0.177,0.84
taddy,email-dnc,random,0.1,0.1,0.275,0.81
taddy,email-dnc,random,0.1,0.5,0.284,0.8
taddy,email-dnc,random,0.1,1,0.342,0.86
taddy,email-dnc,bridge,0.01,0.1,0.032,0.72
taddy,email-dnc,bridge,0.01,0.5,0.025,0.62
taddy,email-dnc,bridge,0.01,1,0.016,0.65
taddy,email-dnc,bridge,0.05,0.1,0.159,0.77
taddy,email-dnc,bridge,0.05,0.5,0.17,0.75
taddy,email-dnc,bridge,0.05,1,0.092,0.63
taddy,email-dnc,bridge,0.1,0.1,0.189,0.74
taddy,email-dnc,bridge,0.1,0.5,0.153,0.7
taddy,email-dnc,bridge,0.1,1,0.118,0.6
taddy,email-dnc,path,0.01,0.1,0.09,0.87
taddy,email-dnc,path,0.01,0.5,0.04,0.85
taddy,email-dnc,path,0.01,1,0.047,0.84
taddy,email-dnc,path,0.05,0.1,0.231,0.88
taddy,email-dnc,path,0.05,0.5,0.054,0.54
taddy,email-dnc,path,0.05,1,0.11,0.78
taddy,email-dnc,path,0.1,0.1,0.28,0.84
taddy,email-dnc,path,0.1,0.5,0.212,0.76
taddy,email-dnc,path,0.1,1,0.294,0.8
taddy,email-dnc,burst,0.01,0.1,0.75,0.71
taddy,email-dnc,burst,0.01,0.5,0.031,0.75
taddy,email-dnc,burst,0.01,1,0.018,0.61
taddy,email-dnc,burst,0.05,0.1,0.364,0.71
taddy,email-dnc,burst,0.05,0.5,0.081,0.59
taddy,email-dnc,burst,0.05,1,0.064,0.56
taddy,email-dnc,burst,0.1,0.1,0.337,0.78
taddy,email-dnc,burst,0.1,0.5,0.149,0.61
taddy,email-dnc,burst,0.1,1,0.106,0.57
taddy,email-dnc,clique,0.01,0.1,0.015,0.45
taddy,email-dnc,clique,0.01,0.5,0.025,0.65
taddy,email-dnc,clique,0.01,1,0.026,0.67
taddy,email-dnc,clique,0.05,0.1,0.06,0.56
taddy,email-dnc,clique,0.05,0.5,0.08,0.67
taddy,email-dnc,clique,0.05,1,0.051,0.57
taddy,email-dnc,clique,0.1,0.1,0.12,0.59
taddy,email-dnc,clique,0.1,0.5,0.13,0.65
taddy,email-dnc,clique,0.1,1,0.145,0.57
taddy,uc-social,random,0.01,0.1,0.02,0.7
taddy,uc-social,random,0.01,0.5,0.02,0.72
taddy,uc-social,random,0.01,1,0.016,0.67
taddy,uc-social,random,0.05,0.1,0.086,0.59
taddy,uc-social,random,0.05,0.5,0.08,0.67
taddy,uc-social,random,0.05,1,0.072,0.62
taddy,uc-social,random,0.1,0.1,0.172,0.75
taddy,uc-social,random,0.1,0.5,0.185,0.77
taddy,uc-social,random,0.1,1,0.182,0.76
taddy,uc-social,bridge,0.01,0.1,0.023,0.77
taddy,uc-social,bridge,0.01,0.5,0.025,0.74
taddy,uc-social,bridge,0.01,1,0.025,0.72
taddy,uc-social,bridge,0.05,0.1,0.12,0.77
taddy,uc-social,bridge,0.05,0.5,0.089,0.74
taddy,uc-social,bridge,0.05,1,0.093,0.69
taddy,uc-social,bridge,0.1,0.1,0.198,0.7
taddy,uc-social,bridge,0.1,0.5,0.22,0.75
taddy,uc-social,bridge,0.1,1,0.177,0.76
taddy,uc-social,path,0.01,0.1,0.024,0.75
taddy,uc-social,path,0.01,0.5,0.02,0.62
taddy,uc-social,path,0.01,1,0.013,0.62
taddy,uc-social,path,0.05,0.1,0.084,0.69
taddy,uc-social,path,0.05,0.5,0.071,0.64
taddy,uc-social,path,0.05,1,0.081,0.69
taddy,uc-social,path,0.1,0.1,0.155,0.72
taddy,uc-social,path,0.1,0.5,0.152,0.7
taddy,uc-social,path,0.1,1,0.185,0.75
taddy,uc-social,burst,0.01,0.1,0.012,0.38
taddy,uc-social,burst,0.01,0.5,0.012,0.4
taddy,uc-social,burst,0.01,1,0.022,0.71
taddy,uc-social,burst,0.05,0.1,0.042,0.34
taddy,uc-social,burst,0.05,0.5,0.039,0.41
taddy,uc-social,burst,0.05,1,0.062,0.6
taddy,uc-social,burst,0.1,0.1,0.068,0.34
taddy,uc-social,burst,0.1,0.5,0.088,0.49
taddy,uc-social,burst,0.1,1,0.104,0.58
taddy,uc-social,clique,0.01,0.1,0.011,0.38
taddy,uc-social,clique,0.01,0.5,0.015,0.51
taddy,uc-social,clique,0.01,1,0.035,0.79
taddy,uc-social,clique,0.05,0.1,0.043,0.44
taddy,uc-social,clique,0.05,0.5,0.062,0.6
taddy,uc-social,clique,0.05,1,0.076,0.65
taddy,uc-social,clique,0.1,0.1,0.073,0.35
taddy,uc-social,clique,0.1,0.5,0.124,0.64
taddy,uc-social,clique,0.1,1,0.244,0.78
