method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
gcn,email-dnc,burst,0.1,1,0.24,0.78
gcn,email-dnc,clique,0.01,0.1,0.023,0.58
gcn,email-dnc,clique,0.01,0.5,0.05,0.72
gcn,email-dnc,clique,0.01,1,0.032,0.69
gcn,email-dnc,clique,0.05,0.1,0.132,0.75
gcn,email-dnc,clique,0.05,0.5,0.07,0.62
gcn,email-dnc,clique,0.05,1,0.093,0.68
gcn,email-dnc,clique,0.1,0.1,0.17,0.7
gcn,email-dnc,clique,0.1,0.5,0.14,0.66
gcn,email-dnc,clique,0.1,1,0.181,0.72
gcn,uc-social,random,0.01,0.1,0.03,0.71
gcn,uc-social,random,0.01,0.5,0.04,0.76
gcn,uc-social,random,0.01,1,0.03,0.74
gcn,uc-social,random,0.05,0.1,0.121,0.75
gcn,uc-social,random,0.05,0.5,0.141,0.77
gcn,uc-social,random,0.05,1,0.144,0.77
gcn,uc-social,random,0.1,0.1,0.234,0.78
gcn,uc-social,random,0.1,0.5,0.23,0.78
gcn,uc-social,random,0.1,1,0.25,0.79
gcn,uc-social,bridge,0.01,0.1,0.03,0.71
gcn,uc-social,bridge,0.01,0.5,0.042,0.78
gcn,uc-social,bridge,0.01,1,0.03,0.7
gcn,uc-social,bridge,0.05,0.1,0.124,0.75
gcn,uc-social,bridge,0.05,0.5,0.122,0.74
gcn,uc-social,bridge,0.05,1,0.15,0.77
gcn,uc-social,bridge,0.1,0.1,0.29,0.83
gcn,uc-social,bridge,0.1,0.5,0.28,0.82
gcn,uc-social,bridge,0.1,1,0.24,0.79
gcn,uc-social,path,0.01,0.1,0.04,0.77
gcn,uc-social,path,0.01,0.5,0.032,0.79
gcn,uc-social,path,0.01,1,0.053,0.86
gcn,uc-social,path,0.05,0.1,0.172,0.83
gcn,uc-social,path,0.05,0.5,0.15,0.8
gcn,uc-social,path,0.05,1,0.16,0.81
gcn,uc-social,path,0.1,0.1,0.253,0.81
gcn,uc-social,path,0.1,0.5,0.264,0.83
gcn,uc-social,path,0.1,1,0.275,0.82
gcn,uc-social,burst,0.01,0.1,0.021,0.65
gcn,uc-social,burst,0.01,0.5,0.023,0.58
gcn,uc-social,burst,0.01,1,0.022,0.58
gcn,uc-social,burst,0.05,0.1,0.141,0.79
gcn,uc-social,burst,0.05,0.5,0.144,0.74
gcn,uc-social,burst,0.05,1,0.102,0.69
gcn,uc-social,burst,0.1,0.1,0.232,0.77
gcn,uc-social,burst,0.1,0.5,0.31,0.81
gcn,uc-social,burst,0.1,1,0.16,0.69
gcn,uc-social,clique,0.01,0.1,0.03,0.69
gcn,uc-social,clique,0.01,0.5,0.03,0.75
gcn,uc-social,clique,0.01,1,0.033,0.76
gcn,uc-social,clique,0.05,0.1,0.1,0.73
gcn,uc-social,clique,0.05,0.5,0.06,0.58
gcn,uc-social,clique,0.05,1,0.1,0.7
gcn,uc-social,clique,0.1,0.1,0.163,0.7
gcn,uc-social,clique,0.1,0.5,0.17,0.71
gcn,uc-social,clique,0.1,1,0.13,0.63
