method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
graphsage,uc-social,random,0.1,0.1,0.214,0.71
graphsage,uc-social,random,0.1,0.5,0.22,0.7
graphsage,uc-social,random,0.1,1,0.21,0.69
graphsage,uc-social,bridge,0.01,0.1,0.023,0.64
graphsage,uc-social,bridge,0.01,0.5,0.03,0.65
graphsage,uc-social,bridge,0.01,1,0.032,0.64
graphsage,uc-social,bridge,0.05,0.1,0.114,0.68
graphsage,uc-social,bridge,0.05,0.5,0.113,0.68
graphsage,uc-social,bridge,0.05,1,0.11,0.67
graphsage,uc-social,bridge,0.1,0.1,0.181,0.69
graphsage,uc-social,bridge,0.1,0.5,0.19,0.68
graphsage,uc-social,bridge,0.1,1,0.194,0.68
graphsage,uc-social,path,0.01,0.1,0.04,0.71
graphsage,uc-social,path,0.01,0.5,0.022,0.65
graphsage,uc-social,path,0.01,1,0.031,0.74
graphsage,uc-social,path,0.05,0.1,0.11,0.69
graphsage,uc-social,path,0.05,0.5,0.11,0.68
graphsage,uc-social,path,0.05,1,0.12,0.69
graphsage,uc-social,path,0.1,0.1,0.172,0.66
graphsage,uc-social,path,0.1,0.5,0.192,0.7
graphsage,uc-social,path,0.1,1,0.212,0.71
graphsage,uc-social,burst,0.01,0.1,0.053,0.62
graphsage,uc-social,burst,0.01,0.5,0.05,0.77
graphsage,uc-social,burst,0.01,1,0.041,0.75
graphsage,uc-social,burst,0.05,0.1,0.08,0.6
graphsage,uc-social,burst,0.05,0.5,0.15,0.73
graphsage,uc-social,burst,0.05,1,0.172,0.62
graphsage,uc-social,burst,0.1,0.1,0.252,0.74
graphsage,uc-social,burst,0.1,0.5,0.195,0.67
graphsage,uc-social,burst,0.1,1,0.173,0.68
graphsage,uc-social,clique,0.01,0.1,0.03,0.68
graphsage,uc-social,clique,0.01,0.5,0.02,0.58
graphsage,uc-social,clique,0.01,1,0.014,0.48
graphsage,uc-social,clique,0.05,0.1,0.06,0.54
graphsage,uc-social,clique,0.05,0.5,0.07,0.55
graphsage,uc-social,clique,0.05,1,0.065,0.57
graphsage,uc-social,clique,0.1,0.1,0.153,0.66
graphsage,uc-social,clique,0.1,0.5,0.11,0.56
graphsage,uc-social,clique,0.1,1,0.12,0.58
