method,dataset,anom_type,anom_ratio,anom_duration,auprc,rocauc
strgnn,bitcoin-otc,clique,0.05,0.1,0.033,0.21
strgnn,bitcoin-otc,clique,0.05,0.5,0.03,0.14
strgnn,bitcoin-otc,clique,0.05,1,0.06,0.48
strgnn,bitcoin-otc,clique,0.1,0.1,0.062,0.26
strgnn,bitcoin-otc,clique,0.1,0.5,0.07,0.36
strgnn,bitcoin-otc,clique,0.1,1,0.091,0.48
strgnn,digg-homo,random,0.01,0.1,0.13,0.93
strgnn,digg-homo,random,0.01,0.5,0.143,0.91
strgnn,digg-homo,random,0.01,1,0.138,0.93
strgnn,digg-homo,random,0.05,0.1,0.413,0.92
strgnn,digg-homo,random,0.05,0.5,0.388,0.92
strgnn,digg-homo,random,0.05,1,0.382,0.93
strgnn,digg-homo,random,0.1,0.1,0.55,0.93
strgnn,digg-homo,random,0.1,0.5,0.54,0.92
strgnn,digg-homo,random,0.1,1,0.578,0.93
strgnn,digg-homo,bridge,0.01,0.1,0.102,0.91
strgnn,digg-homo,bridge,0.01,0.5,0.088,0.9
strgnn,digg-homo,bridge,0.01,1,0.081,0.91
strgnn,digg-homo,bridge,0.05,0.1,0.109,0.73
strgnn,digg-homo,bridge,0.05,0.5,0.099,0.71
strgnn,digg-homo,bridge,0.05,1,0.108,0.77
strgnn,digg-homo,bridge,0.1,0.1,0.102,0.51
strgnn,digg-homo,bridge,0.1,0.5,0.087,0.45
strgnn,digg-homo,bridge,0.1,1,0.109,0.56
strgnn,digg-homo,path,0.01,0.1,0.023,0.8
strgnn,digg-homo,path,0.01,0.5,0.025,0.81
strgnn,digg-homo,path,0.01,1,0.029,0.82
strgnn,digg-homo,path,0.05,0.1,0.101,0.79
strgnn,digg-homo,path,0.05,0.5,0.105,0.79
strgnn,digg-homo,path,0.05,1,0.113,0.81
strgnn,digg-homo,path,0.1,0.1,0.184,0.77
strgnn,digg-homo,path,0.1,0.5,0.2,0.81
strgnn,digg-homo,path,0.1,1,0.228,0.83
strgnn,digg-homo,burst,0.01,0.1,0.007,0.29
strgnn,digg-homo,burst,0.01,0.5,0.009,0.48
strgnn,digg-homo,burst,0.01,1,0.01,0.54
strgnn,digg-homo,burst,0.05,0.1,0.031,0.27
strgnn,digg-homo,burst,0.05,0.5,0.034,0.34
strgnn,digg-homo,burst,0.05,1,0.043,0.5
strgnn,digg-homo,burst,0.1,0.1,0.07,0.24
strgnn,digg-homo,burst,0.1,0.5,0.068,0.32
strgnn,digg-homo,burst,0.1,1,0.081,0.49
strgnn,digg-homo,clique,0.01,0.1,0.007,0.03
strgnn,digg-homo,clique,0.01,0.5,0.007,0.03
strgnn,digg-homo,clique,0.01,1,0.008,0.1
strgnn,digg-homo,clique,0.05,0.1,0.026,0.03
strgnn,digg-homo,clique,0.05,0.5,0.026,0.03
strgnn,digg-homo,clique,0.05,1,0.026,0.05
strgnn,digg-homo,clique,0.1,0.1,0.05,0.01
strgnn,digg-homo,clique,0.1,0.5,0.05,0.03
strgnn,digg-homo,clique,0.1,1,0.048,0.05
strgnn,email-dnc,random,0.01,0.1,0.714,0.99
strgnn,email-dnc,random,0.01,0.5,0.683,0.99
strgnn,email-dnc,random,0.01,1,0.721,0.99
strgnn,email-dnc,random,0.05,0.1,0.89,0.99
strgnn,email-dnc,random,0.05,0.5,0.881,0.99
strgnn,email-dnc,random,0.05,1,0.9,0.99
strgnn,email-dnc,random,0.1,0.1,0.931,0.99
strgnn,email-dnc,random,0.1,0.5,0.941,0.99
strgnn,email-dnc,random,0.1,1,0.908,0.99
strgnn,email-dnc,bridge,0.01,0.1,0.458,0.99
strgnn,email-dnc,bridge,0.01,0.5,0.468,0.99
strgnn,email-dnc,bridge,0.01,1,0.434,0.99
strgnn,email-dnc,bridge,0.05,0.1,0.61,0.97
strgnn,email-dnc,bridge,0.05,0.5,0.53,0.97
strgnn,email-dnc,bridge,0.05,1,0.67,0.98
strgnn,email-dnc,bridge,0.1,0.1,0.712,0.96
strgnn,email-dnc,bridge,0.1,0.5,0.72,0.97
strgnn,email-dnc,bridge,0.1,1,0.641,0.95
strgnn,email-dnc,path,0.01,0.1,0.575,0.99
strgnn,email-dnc,path,0.01,0.5,0.49,0.99
strgnn,email-dnc,path,0.01,1,0.511,0.99
strgnn,email-dnc,path,0.05,0.1,0.7,0.99
strgnn,email-dnc,path,0.05,0.5,0.842,0.99
strgnn,email-dnc,path,0.05,1,0.781,0.99
strgnn,email-dnc,path,0.1,0.1,0.87,0.99
strgnn,email-dnc,path,0.1,0.5,0.903,0.99
strgnn,email-dnc,path,0.1,1,0.893,0.99
strgnn,email-dnc,burst,0.01,0.1,0.048,0.88
strgnn,email-dnc,burst,0.01,0.5,0.017,0.85
strgnn,email-dnc,burst,0.01,1,0.056,0.89
strgnn,email-dnc,burst,0.05,0.1,0.415,0.95
strgnn,email-dnc,burst,0.05,0.5,0.42,0.96
strgnn,email-dnc,burst,0.05,1,0.313,0.94
strgnn,email-dnc,burst,0.1,0.1,0.38,0.92
strgnn,email-dnc,burst,0.1,0.5,0.21,0.82
strgnn,email-dnc,burst,0.1,1,0.437,0.92
strgnn,email-dnc,clique,0.01,0.1,0.016,0.51
strgnn,email-dnc,clique,0.01,0.5,0.015,0.49
strgnn,email-dnc,clique,0.01,1,0.026,0.72
strgnn,email-dnc,clique,0.05,0.1,0.055,0.53
strgnn,email-dnc,clique,0.05,0.5,0.04,0.49
strgnn,email-dnc,clique,0.05,1,0.06,0.64
strgnn,email-dnc,clique,0.1,0.1,0.07,0.35
strgnn,email-dnc,clique,0.1,0.5,0.111,0.61
strgnn,email-dnc,clique,0.1,1,0.107,0.6
strgnn,uc-social,random,0.01,0.1,0.446,0.97
strgnn,uc-social,random,0.01,0.5,0.44,0.98
strgnn,uc-social,random,0.01,1,0.487,0.96
strgnn,uc-social,random,0.05,0.1,0.686,0.96
strgnn,uc-social,random,0.05,0.5,0.686,0.97
strgnn,uc-social,random,0.05,1,0.691,0.96
strgnn,uc-social,random,0.1,0.1,0.76,0.96
strgnn,uc-social,random,0.1,0.5,0.761,0.95
strgnn,uc-social,random,0.1,1,0.754,0.96
strgnn,uc-social,bridge,0.01,0.1,0.474,0.97
strgnn,uc-social,bridge,0.01,0.5,0.52,0.97
strgnn,uc-social,bridge,0.01,1,0.47,0.95
strgnn,uc-social,bridge,0.05,0.1,0.682,0.97
strgnn,uc-social,bridge,0.05,0.5,0.669,0.96
strgnn,uc-social,bridge,0.05,1,0.669,0.96
strgnn,uc-social,bridge,0.1,0.1,0.74,0.95
strgnn,uc-social,bridge,0.1,0.5,0.73,0.96
strgnn,uc-social,bridge,0.1,1,0.801,0.97
strgnn,uc-social,path,0.01,0.1,0.131,0.94
strgnn,uc-social,path,0.01,0.5,0.175,0.96
strgnn,uc-social,path,0.01,1,0.212,0.95
strgnn,uc-social,path,0.05,0.1,0.325,0.93
strgnn,uc-social,path,0.05,0.5,0.404,0.94
strgnn,uc-social,path,0.05,1,0.472,0.94
strgnn,uc-social,path,0.1,0.1,0.484,0.93
strgnn,uc-social,path,0.1,0.5,0.582,0.93
strgnn,uc-social,path,0.1,1,0.635,0.94
strgnn,uc-social,burst,0.01,0.1,0.019,0.7
strgnn,uc-social,burst,0.01,0.5,0.014,0.58
strgnn,uc-social,burst,0.01,1,0.01,0.39
strgnn,uc-social,burst,0.05,0.1,0.058,0.62
strgnn,uc-social,burst,0.05,0.5,0.056,0.61
strgnn,uc-social,burst,0.05,1,0.059,0.62
strgnn,uc-social,burst,0.1,0.1,0.125,0.67
strgnn,uc-social,burst,0.1,0.5,0.114,0.64
strgnn,uc-social,burst,0.1,1,0.092,0.54
strgnn,uc-social,clique,0.01,0.1,0.01,0.15
strgnn,uc-social,clique,0.01,0.5,0.01,0.13
strgnn,uc-social,clique,0.01,1,0.025,0.66
strgnn,uc-social,clique,0.05,0.1,0.028,0.09
strgnn,uc-social,clique,0.05,0.5,0.031,0.21
strgnn,uc-social,clique,0.05,1,0.111,0.74
strgnn,uc-social,clique,0.1,0.1,0.062,0.09
strgnn,uc-social,clique,0.1,0.5,0.08,0.43
strgnn,uc-social,clique,0.1,1,0.12,0.61
